location,latitude,longitude,altitude
"Deutschland, Westerwald; Hessen, Dillkreis",,,
"Deutschland, Westerwald; Lahnkreis; Dillkreis",,,
"Deutschland, Westerwald; Limburg",50.67602,7.392424,0.0
"Deutschland, Westfalen",51.94318870000001,7.6108087,0.0
"Deutschland, Westfalen, Bayern ?",51.6413398,8.5037825,0.0
"Deutschland, Westfalen, Bielefeld",52.0191005,8.531007,0.0
"Deutschland, Westfalen, Eichsfeld",51.4758395,7.488074,0.0
"Deutschland, Westfalen, Herfurt; Hessen",,,
"Deutschland, Westfalen, Kreis Iserlohn",51.3746778,7.6999713,0.0
"Deutschland, Westfalen, Muenster",51.9625101,7.6251879,0.0
"Deutschland, Westfalen, Muenster; Hildesheim",,,
"Deutschland, Westfalen, Paderborn",51.71895955,8.764869778177559,0.0
"Deutschland, Westfalen, Soest",51.5725501,8.1061259,0.0
"Deutschland, Westfalen, Wittgenstein",50.9175238,8.137557211996047,0.0
"Deutschland, Westfalen; Rheinland; Nassau",50.7790704,6.2281681,0.0
"Deutschland, Wetterau",50.3556283,8.6947136,0.0
"Deutschland, Wetterau, Butzbach",,,
"Deutschland, Wetterau; Lahnkreis; Dillkreis",,,
"Deutschland, Wetzlar, Philippstein",,,
"Deutschland, Wilsnack",52.9556782,11.9448627,0.0
"Deutschland, Wuerttemberg",48.7820489,9.2687566,0.0
"Deutschland, Wuerttemberg, Stuttgart",48.7784485,9.1800132,0.0
