id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performersource,source_key,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
han1062,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1062.krn,han/han1062.krn,kern,f14208c1051cfd73afb531dd374abe71
han1063,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1063.krn,han/han1063.krn,kern,cbf90f2a6d6f53c660c12997d9a1543c
han1064,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1064.krn,han/han1064.krn,kern,c95658cc6101a1f8df28e281a9e76803
han1065,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1065.krn,han/han1065.krn,kern,8eef27b944158114853c90230d69d940
han1066,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1066.krn,han/han1066.krn,kern,63b2068c5de4d83b581a275c00ee2582
han1067,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1067.krn,han/han1067.krn,kern,6d0c8485a03ccf9dccf906691d177368
han1068,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1068.krn,han/han1068.krn,kern,dd5b2779dde51a18a977c6fc93aa673d
han1069,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1069.krn,han/han1069.krn,kern,ff89fbc2bea0b0fb00d590aa2bd8700c
han1070,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1070.krn,han/han1070.krn,kern,2c02b71802e7b44b2ef273b7023372b5
han1071,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1071.krn,han/han1071.krn,kern,01f22ff4f91c5cbc4bd4c6ac8a2b73e5
han1072,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1072.krn,han/han1072.krn,kern,3a0dc5e420732593eecd391ce96608b1
han1073,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1073.krn,han/han1073.krn,kern,3a54cdefa4324c34d26a432b0d35fe15
han1074,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1074.krn,han/han1074.krn,kern,2c52fa17a49e5e329743ee1737c0044a
han1075,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1075.krn,han/han1075.krn,kern,9074b0463b13f883e974fdb4edd69941
han1076,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1076.krn,han/han1076.krn,kern,2b57438f019b39545aa9d875ff2dc276
han1077,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1077.krn,han/han1077.krn,kern,7b0d20472c45b368fd376f4021959c4c
han1078,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1078.krn,han/han1078.krn,kern,13cf04a282e1da9e6e84365fa652757d
han1079,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1079.krn,han/han1079.krn,kern,9d10618d8eaf2285f91e6801509d075c
han1080,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1080.krn,han/han1080.krn,kern,1e4b1accc45109c70d43fc88329de081
han1081,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1081.krn,han/han1081.krn,kern,ee378cb96ae723308bd3ae0a14375e66
han1082,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1082.krn,han/han1082.krn,kern,62b7fb5ba0e201ed772ea0b372c8f677
han1083,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1083.krn,han/han1083.krn,kern,0bec66709eae47e2d02c27c7f53fcccf
han1084,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1084.krn,han/han1084.krn,kern,cb11a17d950fe7d9ae5199042da0ae92
