id,dataset_id,title,title_translation,location,latitude,longitude,auto_geocoded,language,language_glottolog,culture,culture_dplace_id,culture_hraf_id,genre,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,meter,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics
hs1_0012e,finnish-folk-tunes,,,Eurajoki,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0012f,finnish-folk-tunes,,,Luvia ,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0012g,finnish-folk-tunes,,,Eurajoki,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0012h,finnish-folk-tunes,,,Porin maaseurakunta,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0013a,finnish-folk-tunes,,,Pohjois-Savo,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0013b,finnish-folk-tunes,,,Lapua,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0013c,finnish-folk-tunes,,,Tampere,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0013d,finnish-folk-tunes,,,Pieksämäki,,,,,,,,,Koraalitoisinto,,,,,,,,,,,6/2,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0014a,finnish-folk-tunes,,,Pohjanmaa,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0014b,finnish-folk-tunes,,,Pohjois-Savo,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0014c,finnish-folk-tunes,,,Rauma,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0014d,finnish-folk-tunes,,,Uusikirkko ,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0014e,finnish-folk-tunes,,,Lapua,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0014f,finnish-folk-tunes,,,Eurajoki,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0014g,finnish-folk-tunes,,,Loimaa,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0014h,finnish-folk-tunes,,,Inkeri,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0014i,finnish-folk-tunes,,,Uusikirkko ,,,,,,,,,Koraalitoisinto,,,,,,,,,,,2/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0014j,finnish-folk-tunes,,,Rauma,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0014k,finnish-folk-tunes,,,Eurajoki,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0014l,finnish-folk-tunes,,,Laitila,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0014m,finnish-folk-tunes,,,Porin maaseurakunta,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0014n,finnish-folk-tunes,,,Kiukainen,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0014o,finnish-folk-tunes,,,Kodisjoki,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0014p,finnish-folk-tunes,,,Pori,,,,,,,,,Koraalitoisinto,,,,,,,,,,,2/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0014q,finnish-folk-tunes,,,Luvia ,,,,,,,,,Koraalitoisinto,,,,,,,,,,,2/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
